filename,width,height,class,xmin,ymin,xmax,ymax
DSCF1013.JPG,3648,2736,bus,1217,1690,1706,1891
DSCF1013.JPG,3648,2736,bus,1774,1619,2249,1843
DSCF1013.JPG,3648,2736,bus,2313,1566,2773,1794
DSCF1013.JPG,3648,2736,bus,1284,1832,1781,2063
DSCF1013.JPG,3648,2736,bus,1879,1798,2365,2026
DSCF1013.JPG,3648,2736,bus,2429,1742,2904,1970
DSCF1015.JPG,3648,2736,bus,641,1342,1822,2234
DSCF1015.JPG,3648,2736,bus,2053,1022,3175,1757
DSCF1016.JPG,3648,2736,bus,1067,1843,2181,2456
DSCF1016.JPG,3648,2736,bus,1954,1278,2975,1839
DSCF1016.JPG,3648,2736,bus,2392,717,3356,1352
DSCF1017.JPG,3648,2736,bus,1834,698,2623,1120
DSCF1021.JPG,3648,2736,bus,1991,755,2914,1301
DSCF1023.JPG,3648,2736,bus,1909,1166,2694,1618
DSCF1025.JPG,3648,2736,bus,985,1570,2237,2280
DSCF1029.JPG,3648,2736,bus,129,1648,1400,2381
DSCF1029.JPG,3648,2736,bus,1456,1076,2578,1910
DSCF1029.JPG,3648,2736,bus,2552,826,3610,1630
DSCF1032.JPG,3648,2736,bus,144,1200,1127,1667
DSCF1032.JPG,3648,2736,bus,2339,1125,3255,1581
DSCF1037.JPG,3648,2736,bus,1210,1712,2679,2355
DSCF1038.JPG,3648,2736,bus,1210,1764,2964,2560
DSCF1040.JPG,3648,2736,bus,462,1813,1438,2359
DSCF1040.JPG,3648,2736,bus,1445,1791,2316,2273
DSCF1040.JPG,3648,2736,bus,2305,1779,3090,2242
DSCF1042.JPG,3648,2736,bus,2021,1682,3034,2186
DSCF1044.JPG,3648,2736,bus,1460,1200,2406,1723
DSCF1048.JPG,3648,2736,bus,443,1230,1108,1544
DSCF1048.JPG,3648,2736,bus,1498,1181,2163,1476
DSCF1048.JPG,3648,2736,bus,2511,1099,3214,1409
DSCF1049.JPG,3648,2736,bus,480,998,1269,1386
DSCF1049.JPG,3648,2736,bus,1718,1192,2458,1588
DSCF1049.JPG,3648,2736,bus,2758,1364,3464,1711
DSCF1050.JPG,3648,2736,bus,454,766,1258,1132
DSCF1050.JPG,3648,2736,bus,1767,807,2559,1173
DSCF1053.JPG,3648,2736,bus,925,1536,1931,2052
DSCF1053.JPG,3648,2736,bus,2010,1510,3023,2033
